full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
4,250997,12255,2007,Actual,Full Year,Atwater Kent Museum,2007-06-30,Atwater Kent Museum,Atwater Kent,18
4,256702,10197,2008,Actual,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,Atwater Kent,18
4,225971,6932,2009,Actual,Full Year,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,Atwater Kent,18
3,198630,0,2010,Target Budget,YTD,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,Atwater Kent,18
4,198630,82,2010,Actual,YTD,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,Atwater Kent,18
3,198630,0,2010,Adopted Budget,Full Year,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,Atwater Kent,18
3,198630,0,2010,Target Budget,Full Year,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,Atwater Kent,18
4,198630,82,2010,Current Projection,Full Year,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,Atwater Kent,18
120,7039481,55975,2007,Actual,Full Year,Auditing,2007-06-30,City Controller's Office,,61
121,7104935,88306,2008,Actual,Full Year,Auditing,2008-06-30,City Controller's Office,,61
124,7362568,58793,2009,Actual,Full Year,Auditing,2009-06-30,City Controller's Office,,61
123,6889116,0,2010,Target Budget,YTD,Auditing,2010-06-30,City Controller's Office,,61
120,6889116,43683,2010,Actual,YTD,Auditing,2010-06-30,City Controller's Office,,61
123,6864116,0,2010,Adopted Budget,Full Year,Auditing,2010-06-30,City Controller's Office,,61
123,6889116,0,2010,Target Budget,Full Year,Auditing,2010-06-30,City Controller's Office,,61
120,6889116,43683,2010,Current Projection,Full Year,Auditing,2010-06-30,City Controller's Office,,61
2,91419,828,2007,Actual,Full Year,Board of Building Standards,2007-06-30,L&I: Board of Building and Standards,,29
2,95635,2421,2008,Actual,Full Year,Board of Building Standards,2008-06-30,L&I: Board of Building and Standards,,29
1,91313,596,2009,Actual,Full Year,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,,29
1,71542,0,2010,Target Budget,YTD,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,,29
1,71542,0,2010,Actual,YTD,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,,29
1,71542,0,2010,Adopted Budget,Full Year,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,,29
1,71542,0,2010,Target Budget,Full Year,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,,29
1,71542,0,2010,Current Projection,Full Year,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,,29
0,0,0,2007,Actual,Full Year,Board of Ethics,2007-06-30,Board of Ethics,,45
6,378707,0,2008,Actual,Full Year,Board of Ethics,2008-06-30,Board of Ethics,,45
9,677611,0,2009,Actual,Full Year,Board of Ethics,2009-06-30,Board of Ethics,,45
9,681100,0,2010,Target Budget,YTD,Board of Ethics,2010-06-30,Board of Ethics,,45
7,681100,0,2010,Actual,YTD,Board of Ethics,2010-06-30,Board of Ethics,,45
10,681100,0,2010,Adopted Budget,Full Year,Board of Ethics,2010-06-30,Board of Ethics,,45
9,681100,0,2010,Target Budget,Full Year,Board of Ethics,2010-06-30,Board of Ethics,,45
7,681100,0,2010,Current Projection,Full Year,Board of Ethics,2010-06-30,Board of Ethics,,45
3,179400,2383,2007,Actual,Full Year,Board of L&I Review,2007-06-30,L&I: Board of Review,,27
3,196609,690,2008,Actual,Full Year,Board of L&I Review,2008-06-30,L&I: Board of Review,,27
2,194190,0,2009,Actual,Full Year,Board of L&I Review,2009-06-30,L&I: Board of Review,,27
2,140645,0,2010,Target Budget,YTD,Board of L&I Review,2010-06-30,L&I: Board of Review,,27
2,140645,0,2010,Actual,YTD,Board of L&I Review,2010-06-30,L&I: Board of Review,,27
2,140645,0,2010,Adopted Budget,Full Year,Board of L&I Review,2010-06-30,L&I: Board of Review,,27
2,140645,0,2010,Target Budget,Full Year,Board of L&I Review,2010-06-30,L&I: Board of Review,,27
2,140645,0,2010,Current Projection,Full Year,Board of L&I Review,2010-06-30,L&I: Board of Review,,27
128,7772791,23915,2007,Actual,Full Year,Bd. of Revision of Taxes,2007-06-30,Board of Revision of Taxes,BRT,63
